triangle_id,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z
140,572,200,-4.739166009285239,576,200,-4.6919945510835115,576,196,-4.730302040851401
141,552,196,-4.822557943270894,556,200,-4.801136940977826,556,196,-4.82654504057138
142,580,196,-4.668909870559652,584,192,-4.627760382796565,580,192,-4.701931237723972
143,548,188,-4.838710533329087,548,192,-4.832903970351416,552,192,-4.837350606408491
144,584,176,-4.724685772012608,584,172,-4.742052537566328,580,172,-4.795766759609275
145,560,164,-4.611468251354586,556,164,-4.57772019065217,556,168,-4.667164649382562
146,580,168,-4.766264966438626,576,164,-4.695888609043875,576,168,-4.77516859011725
147,568,164,-4.671451561794709,564,160,-4.557148049591272,564,164,-4.644355054382926
148,564,164,-4.644355054382926,564,160,-4.557148049591272,560,164,-4.611468251354586
149,560,164,-4.611468251354586,560,160,-4.523102277079113,556,164,-4.57772019065217
150,568,160,-4.586027062692764,564,160,-4.557148049591272,568,164,-4.671451561794709
151,568,160,-4.586027062692764,568,164,-4.671451561794709,572,164,-4.689292412408574
152,572,160,-4.60643005299237,568,160,-4.586027062692764,572,164,-4.689292412408574
153,544,180,-4.8364886490624315,544,184,-4.839417238612316,548,180,-4.835630649503133
154,548,180,-4.835630649503133,544,184,-4.839417238612316,548,184,-4.838807458794449
155,548,184,-4.838807458794449,544,184,-4.839417238612316,548,188,-4.838710533329087
156,548,188,-4.838710533329087,544,188,-4.839156089193576,548,192,-4.832903970351416
157,544,180,-4.8364886490624315,548,180,-4.835630649503133,548,176,-4.802584401316652
158,560,200,-4.797427557885847,564,204,-4.747403122274539,564,200,-4.788436469374921
159,564,200,-4.788436469374921,564,204,-4.747403122274539,568,200,-4.770567685683685
160,568,200,-4.770567685683685,568,204,-4.726621967578122,572,200,-4.739166009285239
161,572,200,-4.739166009285239,572,204,-4.693085230729647,576,200,-4.6919945510835115
162,560,204,-4.759266763827299,564,204,-4.747403122274539,560,200,-4.797427557885847
163,584,184,-4.684414849772752,588,180,-4.6274700388448124,584,180,-4.706392917353042
164,584,180,-4.706392917353042,588,180,-4.6274700388448124,584,176,-4.724685772012608
165,584,176,-4.724685772012608,588,176,-4.652363496177355,584,172,-4.742052537566328
166,588,184,-4.60101094860476,588,180,-4.6274700388448124,584,184,-4.684414849772752
167,588,184,-4.60101094860476,584,184,-4.684414849772752,584,188,-4.658245770568119
168,544,176,-4.791331432738847,544,180,-4.8364886490624315,548,176,-4.802584401316652
169,564,204,-4.747403122274539,568,204,-4.726621967578122,568,200,-4.770567685683685
170,588,188,-4.572210836713966,588,184,-4.60101094860476,584,188,-4.658245770568119
171,576,204,-4.644465501118315,580,200,-4.628464527078909,576,200,-4.6919945510835115
